씬,오브젝트코드,오브젝트이름,대사
1,1,문,엄마는 내가 자는 줄 아실거야. 나가면 안돼.
1,2,침대,아직 자고 싶지 않아.
1,3,토끼인형,아주 어릴 때부터 함께 했던 인형이야.
1,4,서랍장,이 서랍에는 항상 이걸 넣어 둬.+나는 어릴 때부터 조금 아파서 가끔 잘 놀다가도 숨이 막히는데 이걸 사용하면 다시 괜찮아져.
1,5,책장,이 책장은 내가 좋아하는 동화책들로 가득해.+내가 제일 좋아하는 책은 이상한 나라의 앨리스야.
1,6,쿠킹북,아픈 게 나아서 다시 학교를 갈 수 있는 날 친구에게 줄 마들렌을 구워서 갈 거야.+ 기뻐해줬으면 좋겠다.
1,7,뱃지,어린이 우주 탐험대만 가질 수 있는 뱃지야.
1,8,게임기,주인공인 '나인'이 우주괴물들을 멋있게 무찌르는 게임이야. 나도 '나인'처럼 되고 싶어.
2,9,화면,우주가 보여!+이 달 기지 밖을 보여주는 것 같아!
2,10,조종대,우와...버튼이 엄청 많아!+무슨 버튼인지 모르니까 함부러 누르지 말자.
2,11,당근케이크,토끼들은 좋아하는 것 같지만...난 싫어! 당근맛이 나는 걸...
2,12,치즈케이크,내가 제일 좋아하는 케이크야!
2,13,접시,먹을 게 있다면 여기에 놓고 먹을 수 있을 것 같아.
2,14,문,아직 더 둘러보고 싶어.
2,15,문,문이 열리지 않아...빨리 나가야 하는데...
2,16,당근케이크먹는토끼,귀여운 토끼들이 당근 케이크를 먹고 있어...
2,17,당근 케이크,왜 케이크 같은 데에 당근을 넣는 걸까?+나로서는 이해할 수 없어.
2,18,달표면,진짜 어린이 우주 탐험대에서 배웠던 것처럼 땅 곳곳이 움푹 파져 있어!
2,19,자고 있는 토끼,이 아이는 낮잠을 자고 있네.
2,20,술래잡기하는 토끼들,나도 친구들이랑 술래잡기를 하곤 했는데.+나는 금방 숨이 차서 자주 쉬어야 했어.
2,21,배고픈 토끼,이 아이는 술래잡기를 같이 하고 있지 않네.
3,22,문,이 문도 안 열려...
3,23,옷,주머니에 뭔가 있어.+이건 오르골에 꼽는 태엽?
3,24,콩,어?...이게 왜 여기 있지?+하마터면 숙제를 못해가서 선생님께 혼날 뻔 했어.
3,25,일지,이번 방학 숙제로 받은 거야.+이건 벼락치기로 할 수 없어.
3,26,손잡이,저게 뭐지?+왜 천장에 손잡이가 있는 거야?
3,27,인조식물,겉으로 봤을 때는 몰랐는데 이거 플라스틱이야.
3,28,칼집,위험해. 손대지 말자.
3,29,도마,이건 내 도마야.+...그냥 똑같이 생긴 건가?
3,30,서랍,특별한 건 없어.
3,31,탁상시계,이건 시계잖아?+이게 왜 냉동실에...?
3,32,마들렌 반죽,마들렌 반죽이야.+ 아직 반죽이지만 달콤한 냄새가 나.
3,33,의자,음...이 위에 올라가도 천장에 손이 닿지는 않을 것 같아.
3,34,오븐,이제 조금만 기다리면 돼.
3,35,오븐,맛있는 마들렌 완성!
3,36,콩나무,그 강낭콩 마법의 콩이었나봐!+ 콩나무가 천장까지 커다랗게 자랐어!
3,37,콩나무,좋아. 천천히 조심스럽게 올라가 보자.
4,38,입구,다시 돌아갈 시간 없어.
4,39,토끼풀,이건 토끼풀이야.+토끼들이 좋아하는 풀이라 토끼풀이야.
4,40,나비,어? 이 나비는...애기세줄나비야!+아빠랑 산에 갔을 때 처음 봤어.+ 그날 정말 즐거웠는데.
4,41,장미 브로치,...?+이건 장미가 아니라...브로치네?+곧 엄마 생일인데 이걸 드리면 좋아하시겠지?+가져가자!
4,42,백장미나무,예쁜 흰 장미가 열린 나무야.
4,43,페인트,...!+아...그냥 빨간 페인트구나.+깜짝 놀랐어...+
4,44,게시판,[수도꼭지에서 물이 나오지 않아.]+[물이 나오는 곳을 다시 찾아야 할 것 같아]+[토끼풀 밭에서 네잎클로버를 발견했어.]+[나중에 책갈피로 만들어야지.]
4,45,축축한 땅,여기만 땅이 유난히 젖어 있어.
4,46,벼 마름,물을 얻은 대신 벼가 말라 버렸어...
4,47,출구,흙 밑에 출구가 있는 걸까?+흙이 너무 딱딱하게 굳어서 파지지 않아...+
5,48,사다리,돌아갈 시간은 없어.
5,49,욕조와 연못,욕조에 연못이 있네.+근데 흙탕물이라 안은 안 보여.
5,50,운동화,운동회에서 이걸 신고 달리기 시합에서 처음으로 4등을 했어.+그전까지는 항상 5명 중 5등이었는데...헤헤
5,51,세면대,내 키에 딱 맞아.
5,52,문,역시 안 열려.
5,53,책장 a-2,[괴물 009]+[젤리 같은 몸을 가진 괴물로 자신의 몸을 원하는 모양으로 자유자재로 바꿀 수 있다.]+[주로 좁고 어두운 곳에 산다.]
5,54,책장 b-2,[늑대의 배 안에 돌멩이를 가득 채운 뒤 우물에 풍덩!]
5,55,책장 b-3,앨범이네.+난 여기 이 빨간 머리의 애를 싫어해.+내가 몸이 약하다는 이유로 날 괴롭히곤 했어.
5,56,가위,누가 종이접기 책에 실수로 가위를 넣은 채로 책장에 꽂았나 봐...+실수 맞지?
